Date,Close,High,Low,Open,Volume,Return,Volatility_10,Volatility_30,RSI,MACD,MACD_Signal
5/13/2021,138.9768677,139.1201184,137.0877916,137.7503159,342600,0.011138525,0.010838019,0.008776644,50.64865672,0.118646394,0.043674691
5/14/2021,139.5319519,140.1138891,139.3618434,139.6662409,315500,0.003994076,0.009868842,0.008504386,56.53647127,0.281272504,0.091194253
5/17/2021,142.0656281,142.3521295,140.9465075,141.1882414,436100,0.018158394,0.010792543,0.009007365,64.84570112,0.607597354,0.194474873
5/18/2021,143.8383179,144.9574383,143.5339204,143.6592613,322500,0.012477964,0.009649812,0.00896554,67.3708552,0.997751939,0.355130286
5/19/2021,142.6117554,142.8445412,141.5642602,142.0208701,250200,-0.00852737,0.010771447,0.009089809,65.70504392,1.194212774,0.522946784
5/20/2021,143.444397,143.7667042,142.5401525,142.6386356,209300,0.00583852,0.010632518,0.008946852,72.38273779,1.40094737,0.698546901
5/21/2021,144.2859802,144.4202692,143.5965981,144.1427295,211200,0.005866965,0.0106385,0.008946836,71.68527849,1.614088554,0.881655232
5/24/2021,145.7363434,145.9153999,145.1633542,145.1991601,236400,0.010052003,0.010681711,0.009064698,79.63051648,1.878383825,1.08100095
5/25/2021,145.2528992,146.6495594,144.7067678,145.9333195,199500,-0.003317252,0.007736366,0.008947112,76.67657497,2.025481335,1.269897027
5/26/2021,146.8465424,147.2046555,145.7363697,145.7811373,231900,0.010971507,0.007851582,0.009113754,76.94936765,2.244774495,1.464872521
5/27/2021,148.2163391,149.0400103,147.6433499,147.7239233,248600,0.009328083,0.007757284,0.009170925,77.85584854,2.500275435,1.671953104
5/28/2021,148.6013184,149.3175583,148.3595981,148.8788581,160000,0.002597414,0.007819425,0.009172223,76.79102911,2.702671663,1.878096816
6/1/2021,154.2953796,154.6624544,153.1225435,153.5164761,596500,0.038317704,0.01243813,0.011175794,92.01508532,3.284671639,2.15941178
6/2/2021,158.1362305,158.3242351,157.115593,157.3483652,630300,0.024892844,0.013471428,0.011309939,92.90757385,4.00961503,2.52945243
6/3/2021,160.8579102,161.2607908,158.4943281,158.736062,478800,0.017210981,0.012001335,0.011536861,93.24136226,4.749011052,2.973364155
6/4/2021,163.3110352,163.5348593,162.0576119,162.6574589,386900,0.01525026,0.011816749,0.011599876,93.71300182,5.469881029,3.472667529
6/7/2021,161.8695831,163.1677601,161.2518265,162.9707938,384400,-0.008826421,0.013597723,0.011872733,87.92862403,5.857342746,3.949602573
6/8/2021,160.8041992,162.0486608,160.6072329,161.9680874,307100,-0.006581742,0.014780548,0.011765674,83.39797403,6.009171383,4.361516335
6/9/2021,161.6368256,161.8696114,161.0369785,161.1802293,207400,0.005177889,0.01416229,0.011611503,88.04157267,6.126065193,4.714426106
6/10/2021,161.3144836,161.8337571,160.9921901,161.6815584,194400,-0.001994236,0.014730407,0.011685793,86.4765163,6.122122069,4.995965299
6/11/2021,162.4694519,162.4694519,161.6099613,161.8158893,164500,0.007159731,0.014749775,0.011505862,86.64734566,6.141399173,5.225052074
6/14/2021,161.6815643,162.0486391,160.6877848,162.0486391,189900,-0.004849451,0.01530448,0.011252067,83.01802018,6.023663433,5.384774346
6/15/2021,163.346817,163.6422665,162.657435,163.3915846,180900,0.010299583,0.011293708,0.011259401,85.7191311,5.995615264,5.506942529
6/16/2021,164.5912781,165.5223939,163.9287675,164.6718515,326000,0.00761852,0.009164912,0.010799454,85.51949738,6.00458735,5.606471494
6/17/2021,165.8088989,165.9700594,164.7345459,165.6298424,277400,0.007397846,0.008057149,0.010797618,85.43073873,6.040320564,5.693241308
6/18/2021,158.4943237,159.7029794,157.8497092,159.2642792,735000,-0.044114491,0.016018354,0.014218485,65.57645182,5.415982234,5.637789493
6/21/2021,160.1506195,160.6251255,158.0198098,158.467458,284400,0.01045019,0.016377925,0.014253013,60.56196296,4.997233835,5.509678361
6/22/2021,160.6072388,161.2070858,160.1058749,161.2070858,237900,0.002851186,0.016288516,0.014238624,55.0772148,4.64863154,5.337468997
6/23/2021,159.1031494,159.5866035,157.6975273,157.9034417,611500,-0.009365016,0.016423479,0.013829145,46.20456034,4.202549889,5.110485176
6/24/2021,159.0673218,159.7029883,158.9598906,159.7029883,164800,-0.000225185,0.016426548,0.013851245,39.74918839,3.802305367,4.848849214
6/25/2021,159.4523163,160.0790211,159.1747629,159.3538331,156100,0.002420324,0.016223173,0.013808863,43.84698443,3.476104174,4.574300206
6/28/2021,158.5301514,159.183714,158.252598,159.0494113,209100,-0.005783327,0.016245659,0.013940471,44.16902594,3.107356702,4.280911505
6/29/2021,158.2257233,158.7987124,157.9302738,157.9302738,166900,-0.001920317,0.015680399,0.013735571,41.00994275,2.758755653,3.976480335
6/30/2021,156.5336151,157.7959863,156.3366488,157.1066042,313200,-0.010694267,0.015359876,0.013875124,38.24836639,2.319213375,3.645026943
7/1/2021,157.1066132,157.1961483,156.0949375,156.4172447,181500,0.003660543,0.015070184,0.013705884,36.42959905,1.994122108,3.314845976
7/2/2021,157.5990143,158.3242021,157.4289058,157.9213215,210300,0.003134185,0.006520724,0.01369766,39.51247352,1.755975797,3.00307194
7/6/2021,156.6141968,157.9929609,155.2443943,157.6348478,288100,-0.006248881,0.005440183,0.01379558,32.07827202,1.470821868,2.696621926
7/7/2021,157.2588196,157.4557859,156.2919114,157.3662644,128300,0.004115992,0.005583913,0.013730827,29.83767427,1.282072069,2.413711954
7/8/2021,155.9875183,156.3456451,154.9310749,155.0385061,189500,-0.008084133,0.005410504,0.013829266,23.07328672,1.018166319,2.134602827
7/9/2021,159.1747437,160.0163245,159.0494027,159.0583644,320700,0.020432567,0.008939977,0.014134284,52.41114473,1.054051113,1.918492485
7/12/2021,160.1685181,160.625128,158.5032662,159.1747385,176000,0.006243292,0.009129795,0.014096231,50.0665504,1.149429454,1.764679878
7/13/2021,160.41922,160.6699156,159.6671742,160.2491251,281900,0.001565238,0.008860931,0.014097711,49.29003724,1.231056175,1.657955138
7/14/2021,161.1533661,162.0397145,160.7594335,161.4846214,230700,0.004576422,0.008843219,0.01239747,58.2195996,1.339543967,1.594272904
7/15/2021,160.1953888,160.5535156,159.5955418,159.9984361,177800,-0.005944507,0.008197367,0.011649036,54.21119728,1.332856226,1.541989568
7/16/2021,159.4791565,160.5087419,158.8076842,160.5087419,195700,-0.004470992,0.008451742,0.011241837,50.09777926,1.255291957,1.484650046
7/19/2021,157.8407593,158.458516,155.8084326,158.1809626,261100,-0.010273425,0.009199698,0.010993354,47.61309533,1.049518556,1.397623748
7/20/2021,159.4701996,159.6940237,157.3841572,157.6975164,152000,0.010323318,0.009401139,0.011083389,53.94667312,1.006323596,1.319363718
7/21/2021,160.8668518,161.0906759,159.5239072,159.5239072,183200,0.008758077,0.009637195,0.011143832,64.00466719,1.072427169,1.269976408
7/22/2021,159.3537903,161.3234394,159.3090227,161.1443828,321200,-0.009405676,0.009803237,0.011231248,56.8466613,0.99129626,1.214240378
7/23/2021,161.0190735,161.5472951,159.9536685,160.383407,195900,0.010450227,0.008098116,0.011399357,59.72512086,1.049278439,1.18124799
7/26/2021,160.7056885,160.9563704,160.1147896,160.4639546,155700,-0.00194626,0.00794202,0.01132319,62.09627214,1.057749109,1.156548214
7/27/2021,159.7566833,160.3117627,159.1031208,160.3117627,152700,-0.005905237,0.008164621,0.011339443,57.25423777,0.97662744,1.120564059
7/28/2021,161.0369568,161.3682257,159.6223869,159.7566895,143600,0.008013896,0.008463551,0.011273002,64.6568234,1.004070994,1.097265446
7/29/2021,162.4246674,162.8186,161.5920483,161.9053938,157400,0.008617342,0.008586608,0.011298984,60.53388805,1.124830508,1.102778459
7/30/2021,161.0101013,162.1202738,160.7683811,161.6994834,147200,-0.008709059,0.00900391,0.011299383,52.65536745,1.093781207,1.100979008
8/2/2021,162.8365021,163.6154055,162.1739779,162.9439333,167500,0.011343392,0.008583787,0.008060679,56.93722998,1.202685875,1.121320382
8/3/2021,166.4803925,166.516212,163.8929859,164.3048284,246900,0.022377602,0.0103642,0.008805997,63.09992675,1.564984937,1.210053293
8/4/2021,163.1050873,164.5107091,162.2456104,163.5706452,194600,-0.020274491,0.012779944,0.009640873,56.39505325,1.561747779,1.28039219
8/5/2021,163.713913,164.2689924,163.0245309,163.4095154,128800,0.00373272,0.012201475,0.009471017,59.35147003,1.58998114,1.34230998
8/6/2021,161.7980042,162.5052825,161.1891954,162.1740271,183400,-0.011702786,0.012654751,0.009749767,58.63284303,1.44114582,1.362077148
8/9/2021,161.663681,162.4157267,161.3771796,162.1560831,163300,-0.00083019,0.01263515,0.009747055,55.11907424,1.297398402,1.349141399
8/10/2021,161.0638275,161.2607938,159.5776458,160.750482,220400,-0.003710503,0.012526916,0.009708211,50.47745223,1.122139052,1.30374093
8/11/2021,162.3888855,162.4694589,161.5114851,162.1740094,133400,0.008226912,0.012540557,0.009794689,57.42447792,1.077742318,1.258541207
8/12/2021,161.9949341,162.1471328,161.3324098,162.0575977,105600,-0.002425975,0.012269457,0.009570597,52.54548552,0.999250263,1.206683018
8/13/2021,162.3530579,162.3799157,161.8696038,162.2545747,93100,0.00221071,0.01190835,0.009561337,54.28707801,0.954934451,1.156333305
8/16/2021,161.6905212,161.7710946,159.1926369,160.7683671,129800,-0.004080839,0.011392349,0.009600101,55.10874876,0.856479717,1.096362587
8/17/2021,159.5149689,160.7504824,158.9688375,160.7504824,213900,-0.01345504,0.008650865,0.009871439,46.16086309,0.596034028,0.996296875
8/18/2021,157.3304443,159.3448614,157.1513878,158.9151229,227300,-0.013694793,0.007463817,0.010186906,37.64666704,0.210924661,0.839222433
8/19/2021,150.9022369,153.4627856,150.185997,152.3347032,650600,-0.040858001,0.013496269,0.012569688,30.28307901,-0.605994375,0.550179071
8/20/2021,147.4195099,148.3953797,146.7480376,148.3327024,448000,-0.02307936,0.014295874,0.012518375,21.75214913,-1.516949118,0.136753433
8/23/2021,151.0723114,151.2782257,148.8698764,149.3980979,329900,0.024778277,0.017815994,0.013390628,21.77769256,-1.921981356,-0.274993525
8/24/2021,153.1135712,153.6149349,151.8243424,152.0213086,308100,0.013511806,0.018925194,0.013670704,30.75864768,-2.054575847,-0.630909989
8/25/2021,155.5577698,155.8800771,154.0626262,154.349114,263300,0.015963305,0.01966451,0.013998279,35.330164,-1.940067644,-0.89274152
8/26/2021,153.6239014,155.5846026,153.1762532,155.3518305,175200,-0.012431834,0.019823056,0.014125514,35.30735365,-1.982512912,-1.110695799
8/27/2021,155.6741638,155.7368275,153.9462344,154.0268078,140300,0.013345986,0.020578556,0.014360121,39.92780373,-1.829621312,-1.254480901
8/30/2021,154.7609406,155.5398441,154.4207235,155.5398441,134400,-0.005866248,0.020587078,0.014281179,39.51137415,-1.76183378,-1.355951477
8/31/2021,155.9875183,156.6858485,155.4324388,155.4324388,184400,0.007925629,0.020626834,0.014224784,39.3124637,-1.590799354,-1.402921052
9/1/2021,157.7601929,158.4406133,156.6947879,156.7216457,204100,0.011364208,0.020575784,0.01429194,43.24096841,-1.297259318,-1.381788706
9/2/2021,157.7870331,158.3421124,157.0976511,157.8496967,198800,0.000170133,0.014660608,0.014193946,42.63431636,-1.050353128,-1.31550159
9/3/2021,160.4997864,160.5087344,158.315261,158.8524307,279400,0.017192498,0.011388125,0.014420475,48.1983388,-0.628536298,-1.178108532
9/7/2021,162.6216583,162.7111934,161.7442716,162.0486691,224300,0.013220404,0.010073898,0.014614678,54.70827648,-0.121624082,-0.966811642
9/8/2021,161.1533661,162.4963108,160.4192164,162.4963108,219900,-0.009028885,0.011039733,0.014672889,55.92231697,0.159786668,-0.74149198
9/9/2021,161.2160339,161.9949375,160.7415143,160.7415143,173300,0.000388871,0.010432173,0.014602231,69.90310588,0.383443389,-0.516504906
9/10/2021,157.8407593,161.5114663,157.6795988,161.1802111,278200,-0.020936346,0.012100182,0.015002075,70.19421087,0.28505061,-0.356193803
9/13/2021,159.7746124,159.8730956,158.7181555,158.888264,173700,0.012251925,0.011998528,0.015110878,68.06684728,0.358981297,-0.213158783
9/14/2021,160.6072388,161.9412355,159.9536761,161.3503365,175800,0.005211256,0.011628704,0.014991106,66.37961224,0.479233581,-0.07468031
9/15/2021,162.6843262,162.845473,161.0101125,161.0906859,257900,0.012932713,0.011931099,0.014591183,65.83125208,0.733680564,0.086991865
9/16/2021,162.8902435,163.2214989,161.6099625,162.11134,161600,0.001265748,0.011689476,0.01411517,72.29638289,0.941099037,0.257813299
9/17/2021,162.0039063,162.7201462,161.6547411,162.5052701,155100,-0.005441316,0.011985585,0.014132069,66.13413361,1.022176644,0.410685968
9/20/2021,158.20784,159.9626133,156.7216446,159.9626133,363500,-0.023431943,0.013338173,0.014613801,57.66017129,0.771230146,0.482794804
9/21/2021,162.8544312,163.3199892,161.430913,161.5114864,295400,0.02937017,0.016009478,0.015606948,63.24694546,0.936498938,0.573535631
9/22/2021,162.5769043,163.7407926,161.8248584,162.6753875,248400,-0.001704141,0.015701967,0.015593183,59.86073001,1.033171787,0.665462862
9/23/2021,163.6512146,163.8302848,162.5231461,162.8723111,206200,0.006608013,0.015798348,0.01556805,61.51140702,1.182838553,0.768938
9/24/2021,163.4542694,164.0451546,162.9439439,163.5527389,128700,-0.001203445,0.013771252,0.015562062,56.43527698,1.27090847,0.869332094
9/27/2021,166.9907074,167.2951049,165.6388009,165.7014782,221600,0.021635642,0.014714748,0.016036171,58.96401496,1.607534844,1.016972644
9/28/2021,165.4955597,166.8832583,164.8688412,166.6057186,197600,-0.008953478,0.015310955,0.016114563,58.89910862,1.733682928,1.160314701
9/29/2021,167.9387817,169.7499307,166.426474,167.6490051,238600,0.014763067,0.01545175,0.016071149,62.55305206,2.007660731,1.329783907
9/30/2021,160.9658508,164.3979718,160.9658508,163.6191772,403400,-0.041520671,0.021001882,0.017717429,55.14418363,1.643191179,1.392465361
10/1/2021,160.8481293,161.4276964,159.7614427,161.2918657,241800,-0.000731345,0.020943641,0.015873838,51.87948071,1.329521393,1.379876568
10/4/2021,155.5867615,158.9645507,155.0071943,158.6204417,381700,-0.032710158,0.022237168,0.016489257,42.39035911,0.648907219,1.233682698
10/5/2021,155.8855896,156.6100519,154.9437982,155.6682468,184900,0.001920653,0.019541552,0.015915265,39.10785318,0.132105682,1.013367295
10/6/2021,151.2037659,151.6565531,149.7186243,150.8143617,462600,-0.030033717,0.021130114,0.016716363,33.6256221,-0.6477801,0.681137816
10/7/2021,153.4677124,153.9476658,152.6345855,153.1326543,212800,0.014972818,0.02188186,0.016684118,38.4841693,-1.070819892,0.330746274
